Sr. No.,College Name,Placement %
78,"3199 - Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle",~90%
79,"3200 - Hope Foundation and research center's Finolex Academy of Management and Technology, Ratnagiri",86.40%
80,"3201 - Rizvi Education Society's Rizvi College of Engineering, Bandra",~55%
81,"3203 - Atharva College of Engineering,Malad",~56%
82,"3204 - St. Francis Institute of Technology,Borivali",~80%
83,"3206 - S.S.P.M.'s College of Engineering, Kankavli",~20% 
84,"3207 - Mahatma Education Society's Pillai College of Engineering, New Panvel",~75%
85,"3208 - Don Bosco Institute of Technology, Mumbai",~82%
86,"3210 - Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri",~50%
87,"3211 - S.I.E.S. Graduate School of Technology, Nerul",NA
88,"3212 - WATUMULL INSTITUTE OF ELECTRONICS ENGINEERING & COMPUTER TECHNOLOGY, ULHASNAGAR",11–25%
89,"3214 - Xavier Institute Of Engineering C/O Xavier Technical Institute,Mahim",60–85%
90,"3215 - Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri",85–100%
91,"3216 - Gharda Foundation's Gharda Institute of Technology,Khed",70–85%
92,"3217 - Vighnaharata Trust's Shivajirao S. Jondhale College of Engineering & Technology, Shahapur",40–45%
93,"3218 - Aldel Education Trust's St. John College of Engineering & Management, Vevoor",30–40%
94,"3219 - Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institute of Engineering and Technology, Sapgaon",50–60%
95,"3221 - Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology",50–90%
96,"3222 - Haji Jamaluddin Thim Trust's Theem College of Engineering, At",~50%
97,"3223 - Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal",~10% 
98,"3277 - Shree Shankar Narayan Education Trust,Pravin Patil College of Diploma Engg", ~70–75%
99,"3351 - Bharat College of Engineering, Kanhor",~20–80% 
100,"3423 - Shree L.R. Tiwari College of Engineering, Mira Road", ~44%
101,"3436 - B.R. Harne College of Engineering & Technology, Karav",~70% 
102,"3439 - Anjuman-I-Islam's Kalsekar Technical Campus, Panvel",~10–20%
103,"3440 - Metropolitan Institute of Technology & Management, Sukhalwad",~66.7%
104,"3445 - Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik Institute Of Technology",0%
105,"3447 - G.M.Vedak Institute of Technology, Tala",0%
106,"3460 - Universal College of Engineering,Kaman Dist", ~60–80%
107,"3462 - VPM's Maharshi Parshuram College of Engineering, Velneshwar",0%
108,"3465 - Ideal Institute of Technology, Wada",0%
109,"3467 - Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET), Khalapur Dist Raigad",0%
110,"3471 - New Horizon Institute of Technology & Management, Thane",~40–45%
111,"3475 - A. P. Shah Institute of Technology, Thane",~70%
112,"3477 - Chhartrapati Shivaji Maharaj Institute of Technology, Shedung",100%
113,"3503 - Indala College Of Engineering, Bapsai Tal",39%
114,"4004 - Government College of Engineering, Chandrapur",55%
115,"4005 - Laxminarayan Institute of Technology, Nagpur",90%
116,"4025 - Government College of Engineering, Nagpur",60%
117,"4104 - Kavi Kulguru Institute of Technology & Science, Ramtek",≈65% (estimated)
118,"4115 - Shri Ramdeobaba College of Engineering and Management, Nagpur",85%
119,"4116 - Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur",80.00%
120,"4118 - Bapurao Deshmukh College of Engineering, Sevagram",57.1% - 70%
121,"4123 - Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Engineering",40% to 85%
122,"4133 - Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur",47%
123,"4134 - Guru Nanak Institute of Engineering & Technology,Kalmeshwar",93%
124,"4135 - Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering & Technology, Nagpur",~50%
125,"4136 - Lokmanya Tilak Jankalyan Shikshan Sastha, Priyadarshini J. L. College Of Engineering, Nagpur",50-90%
