Institute code,College,Branch code,Branch name,Allocation type,Category,Merit number,Percentile
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,STATE,GOPENS,41293,82.540133
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,STATE,GOBCS,42935,82.1650299
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,STATE,LOPENS,20303,91.765679
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,STATE,LSTS,44323,81.2344165
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,STATE,TFWS,129672,20.3198986
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,STATE,DEFROBCS,66083,70.6180504
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,STATE,ORPHAN,45169,81.0090469
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,STATE,GOPENS,5640,97.818535
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,STATE,GVJS,23177,90.6234798
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,STATE,EWS,10798,95.7719768
1002,"Government College of Engineering, Amravati",100224610,Information Technology,STATE,GOPENS,7015,97.2746725
1002,"Government College of Engineering, Amravati",100224610,Information Technology,STATE,GSCS,17291,93.1024197
1002,"Government College of Engineering, Amravati",100224610,Information Technology,STATE,GNT3S,25898,89.4065093
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,STATE,GSCS,43807,81.4853713
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,STATE,LOPENS,23573,90.4938272
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,STATE,LSTS,139232,7.5516424
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,STATE,LNT3S,110694,39.9066862
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,STATE,PWDOPENS,27067,88.9154021
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,STATE,TFWS,39749,83.3890161
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,STATE,EWS,16325,93.521357
